article_id,article_version,icd10_covered_group,"paragraph",last_updated,"icd10_covered_ast"
56431,6,1,"",2021-02-25 20:08:16.837000000,""
56432,22,1,"",2025-08-18 13:17:40.247000000,""
56439,18,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the physician/provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /></p>
<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Some lid surgeries are generally considered reconstructive in nature and therefore do not require additional specific documentation for coverage by Medicare. Other diagnoses that are not listed within this article can only be considered on a case-by-case basis when the procedures performed are not for cosmetic purposes and they are submitted with the appropriate supportive medical documentation.</span></p>
<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For CPT codes 15820-15823 with/or without 67900-67908 and 67909-67924:</span></p>",2025-10-31 20:58:08.610000000,""
56439,18,2,"<p><em style=""box-sizing: border-box; color: #333333; font-family: Verdana,&amp;quot; helvetica neue&amp;quot;,helvetica,arial,sans-serif; font-size: 14px; font-style: italic; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;""><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the physician/provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span></em></p>
<p><em style=""box-sizing: border-box; color: #333333; font-family: Verdana,&amp;quot; helvetica neue&amp;quot;,helvetica,arial,sans-serif; font-size: 14px; font-style: italic; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Lid surgeries done for the following ICD-10-CM may potentially be considered as cosmetic and thus not covered by Medicare without the appropriate documentation to support functional impairment. Please see the &ldquo;Documentation Requirements in the policy L33944-<span style=""color: #001000; font-family: Verdana,'Helvetica Neue',Helvetica,Arial,sans-serif; background-color: #ffffff;"">Blepharoplasty</span>.""</em></p>
<p>&nbsp;</p>
<p><em style=""box-sizing: border-box; color: #333333; font-family: Verdana,&amp;quot; helvetica neue&amp;quot;,helvetica,arial,sans-serif; font-size: 14px; font-style: italic; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;""><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For CPT codes 15820-15823 with/or without 67900-67908 and 67909-67924</span>:</em></p>
<p style=""line-height: normal;"">&nbsp;</p>",2025-10-31 20:58:09.227000000,""
56448,22,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For screening mammography code 77067, 77063</span></p>",2025-11-26 22:37:20.317000000,""
56448,22,2,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">77065, 77066 For diagnostic mammography and screening mammography that converts to diagnostic mammography (codes 77065, 77066, or G0279)</span></p>
<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Use ICD-10-CM code N64.89 for hematoma<br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /></span></p>
<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM codes Z85.831, Z85.89, or Z98.86 may be reported only until clinical stability has been established.</span></p>",2025-11-26 22:37:20.330000000,""
56448,22,3,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For breast echography/sonography and breast MRI (codes 76645 for DOS 12/31/14 and prior, 76641, 76642, 77046, 77048 (non-OPPS code),77047, 77049(non-OPPS code), C8903, C8905, C8906, and C8908)</span></p>
<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM codes N60.11, N60.12, N60.21, N60.22, N60.31, N60.32, N60.41, N60.42, N60.81, N60.82, N64.0-N64.3, N64.89, or N64.9 should be reported only after mammography and focal findings.</span></p>",2025-11-26 22:37:20.733000000,""
56448,22,4,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For ductography (galactography) (codes 19030, 77053 and 77054):</span></p>
<p>&nbsp;</p>",2025-11-26 22:37:21.020000000,""
56451,26,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span></p>
<p>&nbsp;</p>",2025-09-30 23:46:16.950000000,""
56451,26,2,"<p><p style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;""><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Coverage for these diagnoses is limited to patients in whom ablation for these dysrhythmias has already been planned and scheduled:</span></p>
<p style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">&nbsp;</p></p>",2025-09-30 23:46:17.283000000,""
56452,21,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">These ICD-10-CM codes can be used only with the conditions listed in the Indications and Limitations sections of the <span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 115%; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">local coverage policy L33952 Cardiac Event Detection.</span></span></p>",2025-11-26 22:40:29.583000000,""
56453,12,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span></p>",2025-09-18 20:06:23.040000000,""
56453,12,2,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM E08.311, E08.319, E08.3211, E08.3212, E08.3213, E08.3291, E08.3292, E08.3293, E08.3311, E08.3312, E08.3313, E08.3391, E08.3392, E08.3393, E08.3411, E08.3412, E08.3413, E08.3491, E08.3492, E08.3493, E08.3511, E08.3512, E08.3513, E08.3591, E08.3592, E08.3593, E09.311, E09.3211, E09.3212, E09.3213, E09.3291, E09.3292, E09.3293, E09.3311, E09.3312, E09.3313, E09.3391, E09.3392, E09.3393, E09.3411, E09.3412, E09.3413, E09.3491, E09.3492, E09.3493, E09.3511, E09.3512, E09.3513, E09.3591, E09.3592, E09.3593, E10.311, E10.319, E10.3211, E10.3212, E10.3213, E10.3291, E10.3292, E10.3293, E10.3311, E10.3312, E10.3313, E10.3391, E10.3392, E10.3393, E10.3411, E10.3412, E10.3413, E10.3491, E10.3492, E10.3493, E10.3511, E10.3512, E10.3513, E10.3591, E10.3592, E10.3593, E11.319, E11.321, E11.3211, E11.3212, E11.3213, E11.3291, E11.3292, E11.3293, E11.331, E11.3311, E11.3312, E11.3313, E11.3391, E11.3392, E11.3393, E11.3411, E11.3412, E11.3413, E11.3491, E11.3492, E11.3493, E11.3511, E11.3512, E11.3513, E11.3591, E11.3592, E11.3593, E13.311, E13.319, E13.3211, E13.3212, E13.3213, E13.3291, E13.3292, E13.3293, E13.331, E13.3311, E13.3312, E13.3313, E13.3391, E13.3392, E13.3393, E13.3411, E13.3412, E13.3413, E13.3491, E13.3492, E13.3493, E13.3511, E13.3512, E13.35113, E13.3591, E13.3592, E13.3593, H35.041-H35.043, H35.071-H35.073, H35.21-H35.23, H35.3211-H35.3213, H35.3221-H35.3223, H35.3231-H35.3233, H35.341-H35.343, H35.371-H35.373 require coding of the underlying diagnosis.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM codes H59.021-H59.023 is only allowed for CPT codes 66840, 66850, and 66852.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM code H26.491-H26.493 is only allowed for CPT codes 66840, 66850, 66852, 66920, and 66930.</span></p>",2025-09-18 20:06:23.543000000,""
56453,12,3,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">For CPT code 66982, in addition to reporting one of the primary diagnoses listed above, physicians/providers must report the appropriate ICD-10-CM code(s) from the secondary diagnosis list below, if not listed on the referenced primary diagnosis list. Please see the &ldquo;Documentation Requirements&rdquo; section of this LCD for medical necessity guidelines for the following diagnoses.</span></p>",2025-09-18 20:06:23.977000000,""
56454,11,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM (e.g., to the fourth or fifth digit). The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span></p>",2025-01-31 19:17:58.127000000,""
56455,11,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">The use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span></p>",2025-01-31 19:27:42.020000000,""
56456,30,1,"<p><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">It is the responsibility of the provider to code to the highest level specified in the ICD-10-CM. The correct use of an ICD-10-CM code listed below does not assure coverage of a service. The service must be reasonable and necessary in the specific case and must meet the criteria specified in this determination.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Please note: For the purposes of this LCD, each ICD-10-CM code listed in this paragraph represents only the condition as noted during colonoscopy/sigmoidoscopy/proctosigmoidoscopy and should only be reported when that condition exists in the colon, A03.9, A07.3, A09, A54.6, B65.1, B68.0, B68.1, B71.1, B71.8, D17.5, D17.71, D18.03, D18.1, D49.0, I86.4, K56.49, K56.3, K57.10, K57.11, K57.50, K57.51, Q43.3.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Please note: For the purposes of this policy ICD-10-CM code K92.2 also represents portal hypertensive colopathy.</span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">ICD-10-CM codes D37.1-D37.5, K50.00, K50.011-K50.014, K50.018, K50.10, K50.111-K50.114, K50.118, K50.80, K50.811-K50.814, K50.818, K50.90, K50.911-K50.914, K50.918, K51.00, K51.011-K51.014, K51.018, K51.80, K51.20, K51.211-K51.214, k51.218, K51.30, K51.311-K51.314, K51.318, K51.40, K51.411-K51.414, K51.418, K51.50, K51.511-K51.514, K51.518, K51.80, K51.811-K51.814, K51.818, K51.90, K51.911-K51.914, K51.918, K52.1, K52.2, K52.81-K52.82 and K52.89 can be utilized both as indications for colonoscopy/sigmoidoscopy/proctosigmoidoscopy or as indications for Colorectal Cancer Screening. </span><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><br style=""color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"" /><span style=""display: inline !important; float: none; background-color: #ffffff; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 14px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Surveillance of colonic neoplasia requires the primary diagnosis of ICD-10-CM code Z09 and a secondary diagnosis of Z85.038, Z85.048, Z86.0100, Z86.0101, Z86.0102, or Z86.0109.&#160;</span></p>",2025-12-26 14:19:45.277000000,""
